canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
Br.CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,5.166666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1535402,394.7400000000002,4.558100000000004,23.47,1,2,0,4,2,0.3684210526315789,23
Brc1ccc2ncnc(Nc3ccc(N4CCOCC4)cc3)c2c1,5.94,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1459296,385.2650000000002,3.972500000000002,50.28,1,5,3,4,3,0.2222222222222222,24
C#CCn1cc(/C=N/NC(=O)COc2cccc3cccnc23)c2ccccc21,4.79,"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1991679,382.42300000000006,3.3518000000000017,68.51,1,4,6,4,4,0.08695652173913043,29
C#CCn1cc(/C=N/NC(=O)c2cc3ccccc3o2)c2ccccc21,6.26,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3193884,341.37000000000006,3.784600000000002,59.53,1,3,4,4,4,0.047619047619047616,26
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.6,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1200807,327.46800000000013,4.1437000000000035,52.82000000000001,2,3,1,4,0,0.7619047619047619,24
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.8,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL94657,507.6930000000003,4.477520000000005,109.25000000000001,2,8,2,3,1,0.7407407407407407,35
C/C(=N/Nc1ccc(F)cc1)c1ccc(Cl)s1,5.33,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3214386,268.74399999999997,4.376700000000001,24.39,1,3,3,2,2,0.08333333333333333,17
C/C(=N\NC(=O)c1cccnc1)c1ccc(-n2ccnc2)cc1,5.26,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3213524,305.341,2.4213000000000005,72.17,1,4,4,3,3,0.058823529411764705,23
C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl,5.2,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL2146123,478.88500000000016,-0.016099999999999226,181.62,6,9,2,4,1,0.3181818181818182,33
C=CC1(C=C)Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,5.15,Transactivation of PXR (unknown origin),CHEMBL5279540,540.6270000000003,7.121220000000006,104.82000000000001,3,5,7,6,5,0.09090909090909091,41
C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+],4.9425,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1201065,276.337,-0.6958999999999984,60.27,1,3,5,1,0,0.5833333333333334,18
C=CCOC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,6.43,Transactivation of PXR in human HepG2 cells,CHEMBL4748976,510.4710000000002,6.591400000000005,43.370000000000005,0,3,7,3,2,0.391304347826087,34
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,5.3,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL269732,804.0310000000001,4.639000000000004,178.35999999999996,3,12,7,4,0,0.7727272727272727,57
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,5.366,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL52606,410.5070000000001,1.5199,113.29,3,7,2,3,0,0.8181818181818182,29
C=C[C@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,4.96,Transactivation of PXR (unknown origin),CHEMBL5285519,514.5890000000002,6.565020000000005,104.82000000000001,3,5,6,6,5,0.0967741935483871,39
CC(=O)N1CC(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)C1,5.94,Transactivation of PXR in human HepG2 cells,CHEMBL4784178,722.626,6.020400000000006,83.99000000000001,0,5,8,5,3,0.375,49
